"Mr", "Herr"
"Mrs", "Frau"
"Yes", "Ja"
"No", "Nein"
"Please confirm this action", "Bitte bestätigen Sie diese Aktion"
"Are you sure you want to reset configurations?", "Sind Sie sicher, dass Sie die Einstellungen zurücksetzen möchten?"
"Batch size must be between 50 and 250", "Stückzahl muss zwischen 50 und 250 betragen"
"All fields must be filled", "Alle Felder müssen ausgefüllt sein"
"None", "Nichts"
"Next", "Nächste"
"Start import", "Import starten"
"Customers imported successfully", "Kunden erfolgreich importiert"
"Configurations", "Einstellungen"
"Customer Groups", "Kundengruppen"
"Import", "Import"
"User Manual", "Benutzerhandbuch"
"Error", "Fehler"
"Success", "Erfolgreich"
"Connection", "Verbindung"
"Connect", "Verbinden"
"Global", "Global"
"Product search: ", "Produktsuche: "
"Enabled", "Aktiviert"
"Disabled", "Deaktiviert"
"Debug mode: ", "Debug-Modus: "
"Default configurations", "Standardkonfigurationen"
"Reset", "Zurücksetzen"
"Magento Customer Group", "Kundengruppe Magento"
"CleverReach Group", "CleverReach-Gruppe"
"Opt-in Form", "Opt-in Formular"
"Currently there are no mappings available", "Zurzeit sind keine Zuordnungen verfügbar"
"Batch size", "Stückzahl"
"User Manual", "Benutzerhandbuch"
"Previous", "Vorherige"
"Save", "Speichern"
"Successful connection", "Erfolgreiche Verbindung"
"Unsuccessful connection", "Fehlgeschlagene Verbindung"
"Configuration saved successfully", "Einstellung erfolgreich gespeichert"
"Process already started", "Prozess bereits gestartet"
"Nothing to import", "Nichts zu importieren"
"Process successfully started and will continue in background", "Prozess wurde erfolgreich gestartet und wird im Hintergrund fortgeführt"
"There is no product with given SKU or ID", "Es gibt kein Produkt mit dieser Artikelnummer"
"If product search is enabled, shop products can be searched from CleverReach", "Bei aktivierter Produktsuche können Produkte im CleverReach-Shop gesucht werden"
"If debug mode is enabled, system logs user actions","Bei aktiviertem Debug-Modus protokolliert das System die Benutzeraktionen"
"Map your shop customer groups to CleverReach subscriber lists and choose a opt-in form", "Ordnen Sie Ihre Shop-Kundengruppen den CleverReach Empfängern zu und wählen Sie ein Opt-in Formular."
"Number of customers imported to CleverReach per one request. Must be between 50 and 250. If you don't know what is this leave default value.", "Anzahl der in CleverReach importierten Kunden pro Anfrage. Wert muss zwischen 50 und 250 sein. Wenn Sie die genaue Zahl nicht kennen, geben Sie einen Standardwert an."
"In order to connect with CleverReach, please click on Connect button and login to your CleverReach account or the follow instructions in","Um eine Verbindung mit CleverReach herzustellen, geben Sie bitte die CleverReach Client-ID und Client-Secret ein. Um die CleverReach Kunden-ID und Client Secret zu erhalten, folgen Sie bitte den Anweisungen im "
"user manual","benutzerhandbuch"
"User manual","Benutzerhandbuch"
"Import process cannot start", "Prozess kann nicht gestartet werden"
"Unregistered subscribers", "Nicht registrierte Empfänger"
"Connected", "Verbunden"
"Disconnected", "Nicht verbunden"
"Connecting", "Verbindend"
"Reset to default", "Zurücksetzen"
